song_name,artist_name,release_date,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
Blinding Lights,The Weeknd,2019-11-29,100,0.00147,0.513,0.796,0.000209,0.0938,-4.075,0.0629,171.017,0.345
The Box,Roddy Ricch,2019-12-06,99,0.104,0.896,0.586,0.0,0.79,-6.687,0.0559,116.971,0.642
Dance Monkey,Tones And I,2019-05-10,75,0.688,0.825,0.593,0.000161,0.17,-6.401,0.0988,98.078,0.54
Don't Start Now,Dua Lipa,2019-10-31,97,0.0125,0.794,0.793,0.0,0.0952,-4.521,0.0842,123.941,0.677
Intentions (feat. Quavo),Justin Bieber,2020-02-14,89,0.3,0.806,0.546,0.0,0.102,-6.637,0.0575,147.986,0.874
Say So,Doja Cat,2019-11-07,95,0.256,0.787,0.673,3.57e-06,0.0904,-4.577,0.158,110.962,0.786
Falling,Trevor Daniel,2018-10-05,96,0.123,0.784,0.43,0.0,0.0887,-8.756,0.0364,127.087,0.236
Tusa,KAROL G,2019-11-07,96,0.295,0.803,0.715,0.000134,0.0574,-3.28,0.298,101.085,0.574
ROXANNE,Arizona Zervas,2019-10-10,96,0.0522,0.621,0.601,0.0,0.46,-5.616,0.148,116.735,0.457
Safaera,Bad Bunny,2020-02-28,91,0.0103,0.607,0.829,0.0,0.107,-4.074,0.379,96.172,0.685
La Difícil,Bad Bunny,2020-02-28,93,0.0861,0.685,0.848,7.14e-06,0.0783,-4.561,0.0858,179.87,0.761
death bed (feat. beabadoobee),Powfu,2020-02-08,92,0.731,0.726,0.431,0.0,0.696,-8.765,0.135,144.026,0.348
Godzilla (feat. Juice WRLD),Eminem,2020-01-17,94,0.145,0.808,0.745,0.0,0.292,-5.26,0.342,165.995,0.829
Roses - Imanbek Remix,SAINt JHN,2019-10-09,92,0.0167,0.77,0.724,0.0105,0.353,-5.484,0.0495,121.974,0.898
Si Veo a Tu Mamá,Bad Bunny,2020-02-28,92,0.402,0.9,0.603,4.81e-06,0.134,-5.313,0.0646,129.928,0.824
Sunday Best,Surfaces,2019-01-06,92,0.183,0.878,0.525,0.0,0.0714,-6.832,0.0578,112.022,0.694
